taco
brokerage,sic_codes,company_name,company_number,jurisdiction,last_full_members_list_date,date_of_creation,type,status,undeliverable_registered_office_address,has_been_liquidated,etag,has_insolvency_history,company_status,has_charges,registered_office_is_in_dispute,has_super_secure_pscs,can_file,registered_office_address.region,registered_office_address.postal_code,registered_office_address.locality,registered_office_address.address_line_1,accounts.next_accounts.period_end_on,accounts.next_accounts.due_on,accounts.next_accounts.overdue,accounts.next_accounts.period_start_on,accounts.last_accounts.made_up_to,accounts.last_accounts.type,accounts.last_accounts.period_start_on,accounts.last_accounts.period_end_on,accounts.next_due,accounts.next_made_up_to,accounts.accounting_reference_date.day,accounts.accounting_reference_date.month,accounts.overdue,confirmation_statement.next_made_up_to,confirmation_statement.overdue,confirmation_statement.last_made_up_to,confirmation_statement.next_due,links.self,links.filing_history,links.officers,links.persons_with_significant_control,registered_office_address.country,previous_company_names,registered_office_address.address_line_2,links.charges,links.persons_with_significant_control_statements,date_of_cessation,links.insolvency,branch_company_details.parent_company_name,branch_company_details.parent_company_number,branch_company_details.business_activity,links.overseas,external_registration_number,links.uk_establishments,foreign_company_details.accounts.must_file_within.months,foreign_company_details.accounts.account_period_to.day,foreign_company_details.accounts.account_period_to.month,foreign_company_details.accounts.account_period_from.day,foreign_company_details.accounts.account_period_from.month,foreign_company_details.accounting_requirement.foreign_account_type,foreign_company_details.accounting_requirement.terms_of_account_publication,foreign_company_details.governed_by,foreign_company_details.legal_form,foreign_company_details.originating_registry.country,foreign_company_details.originating_registry.name,foreign_company_details.business_activity,foreign_company_details.registration_number,foreign_company_details.is_a_credit_financial_institution,annual_return.last_made_up_to,links.registers,registered_office_address.care_of,super_secure_managing_officer_count,service_address.address_line_1,service_address.locality,service_address.postal_code,service_address.region,service_address.country,service_address.address_line_2,company_status_detail,partial_data_available
Roxburgh Group,['66220'],J C ROXBURGH (INSURANCE BROKERS) LTD,SC417217,scotland,2016-02-16,2012-02-16,ltd,active,FALSE,FALSE,b1ee2cf919004e701055bf058b7d6bc96cfcf579,FALSE,active,FALSE,FALSE,FALSE,TRUE,Dunbartonshire,G81 1LQ,Clydebank,151 Glasgow Road,2023-03-31,2023-12-31,FALSE,2022-04-01,2022-03-31,small,2021-04-01,2022-03-31,2023-12-31,2023-03-31,31,3,FALSE,2024-02-24,FALSE,2023-02-24,2024-03-09,/company/SC417217,/company/SC417217/filing-history,/company/SC417217/officers,/company/SC417217/persons-with-significant-control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G D Anderson & Co Ltd (Connect),"['65110', '65120']",ANDERSON & CO (INSURANCE BROKERS) LIMITED,5104705,england-wales,2016-06-24,2004-04-19,ltd,,FALSE,FALSE,ec7713903c4cb1c73b9a270ea26fca7a1bf8727b,FALSE,active,FALSE,FALSE,FALSE,TRUE,,FY1 3PB,Blackpool,221 Church Street,2023-04-30,2024-01-31,FALSE,2022-05-01,2022-04-30,total-exemption-full,2021-05-01,2022-04-30,2024-01-31,2023-04-30,30,4,FALSE,2023-07-04,FALSE,2022-07-04,2023-07-18,/company/05104705,/company/05104705/filing-history,/company/05104705/officers,/company/05104705/persons-with-significant-control,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marsh Private Clients (Letchworth),['65120'],MARSH & COMPANY INSURANCE BROKERS LIMITED,3028313,england-wales,2016-03-01,1995-03-02,ltd,active,FALSE,FALSE,525a014af7ce0b11c6035129b4d666076feaa876,FALSE,active,TRUE,FALSE,FALSE,TRUE,,LE1 6XF,Leicester,Lancelot House,2022-08-31,2023-08-31,FALSE,2021-09-01,2021-08-31,total-exemption-full,2020-09-01,2021-08-31,2023-08-31,2022-08-31,31,8,FALSE,2023-07-09,FALSE,2022-07-09,2023-07-23,/company/03028313,/company/03028313/filing-history,/company/03028313/officers,/company/03028313/persons-with-significant-control,,"[{'effective_from': '1995-03-02', 'name': 'MONHURST LIMITED', 'ceased_on': '1995-09-01'}]",1-3 Upper King Street,/company/03028313/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firth & Scott (Insurance Brokers) Ltd (Premier),['65120'],FIRTH & SCOTT (INSURANCE BROKERS) LIMITED,786973,england-wales,2016-05-20,1964-01-06,ltd,,FALSE,FALSE,1c90809e11e81ace83526846c46dd3e551325964,FALSE,active,FALSE,FALSE,FALSE,TRUE,Notts,NG5 4HQ,Nottingham,38 Thackerays Lane,2022-12-31,2023-09-30,FALSE,2022-01-01,2021-12-31,total-exemption-full,2021-01-01,2021-12-31,2023-09-30,2022-12-31,31,12,FALSE,2023-10-21,FALSE,2022-10-21,2023-11-04,/company/00786973,/company/00786973/filing-history,/company/00786973/officers,/company/00786973/persons-with-significant-control,,,Woodthorpe,,/company/00786973/persons-with-significant-control-statements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIB Risk Services Ltd T/as PIB Insurance Brokers (Retford),['65120'],PIB RISK SERVICES LIMITED,2682789,england-wales,2016-01-01,1992-01-30,ltd,,FALSE,FALSE,6417ce2dd161061589954be4793cdbdb54e5d28d,FALSE,active,TRUE,FALSE,FALSE,TRUE,Nottinghamshire,DN22 7SW,Retford,Rossington's Business Park,2022-12-31,2023-09-30,FALSE,2022-01-01,2021-12-31,full,2021-01-01,2021-12-31,2023-09-30,2022-12-31,31,12,FALSE,2024-01-01,FALSE,2023-01-01,2024-01-15,/company/02682789,/company/02682789/filing-history,/company/02682789/officers,/company/02682789/persons-with-significant-control,,"[{'name': 'PIB RISK SERVICES PLC', 'ceased_on': '2017-03-29', 'effective_from': '2017-03-29'}, {'effective_from': '1995-06-01', 'name': 'COOKE & MASON PLC', 'ceased_on': '2017-03-29'}, {'effective_from': '1992-11-24', 'ceased_on': '1995-06-01', 'name': 'COOKE & MASON COMMERCIAL LIMITED'}, {'effective_from': '1992-01-30', 'name': 'FORAY 362 LIMITED', 'ceased_on': '1992-11-24'}]",West Carr Road,/company/02682789/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irvine Commercial Insurance Brokers Ltd (Hedron Network),['65120'],IRVINE COMMERCIAL INSURANCE BROKERS LIMITED,2482944,england-wales,2016-02-28,1990-03-19,ltd,active,FALSE,FALSE,a0eec3e8bb774f2f0b4af0ebefd8d1ea5f6d338b,FALSE,active,TRUE,FALSE,FALSE,TRUE,Warwickshire,CV8 2LG,Kenilworth,Suite 25 Rural Innovation Centre,2023-03-31,2023-12-31,FALSE,2022-04-01,2022-03-31,total-exemption-full,2021-04-01,2022-03-31,2023-12-31,2023-03-31,31,3,FALSE,2024-02-29,FALSE,2023-02-28,2024-03-14,/company/02482944,/company/02482944/filing-history,/company/02482944/officers,/company/02482944/persons-with-significant-control,England,"[{'ceased_on': '2003-03-12', 'effective_from': '1998-12-04', 'name': 'IRVINE COMMERCIAL INSURANCE SERVICES LIMITED'}, {'name': 'IRVINE COMMERCIAL INSURANCE BROKERS LIMITED', 'effective_from': '1991-01-23', 'ceased_on': '1998-12-04'}, {'name': 'IRVINE COMMERCIAL INSURANCE SERVICES LIMITED', 'effective_from': '1990-03-19', 'ceased_on': '1991-01-23'}]",Stoneleigh Park,/company/02482944/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affinity Select Insurance Services Ltd (Advantage),"['64191', '65110', '65120', '70229']",AFFINITY SELECT INSURANCE SERVICES LIMITED,3565404,england-wales,2016-05-18,1998-05-18,ltd,active,FALSE,FALSE,263455cd6135d2821e04e2cb16788dfa45da2700,FALSE,active,FALSE,FALSE,FALSE,TRUE,East Sussex,TN22 1QG,Uckfield,Units 1-6 Horsted Square,2023-08-31,2024-05-31,FALSE,2022-09-01,2022-08-31,total-exemption-full,2021-09-01,2022-08-31,2024-05-31,2023-08-31,31,8,FALSE,2024-05-18,FALSE,2023-05-18,2024-06-01,/company/03565404,/company/03565404/filing-history,/company/03565404/officers,/company/03565404/persons-with-significant-control,,,Bellbrook Industrial Estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hugh J. Boswell Limited trading as Saffron Insurance (Premier),,KADEM TRADING LIMITED T/A SAFFRON LOUNGE LTD,8702698,england-wales,,2013-09-23,ltd,,FALSE,,186d61c39dfd52be354aef233642eda05855f3ef,FALSE,dissolved,FALSE,,,FALSE,Essex,SS0 7LX,Essex,12 Hamlet Court Road,,,,,,null,,,,,30,9,,,,,,/company/08702698,/company/08702698/filing-history,/company/08702698/officers,,England,,Westcliff On Sea,,,2015-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lloyd Bolam Insurance Brokers Ltd (Brokerbility),['66220'],LLOYD BOLAM INSURANCE BROKERS LTD,3391748,england-wales,2016-06-11,1997-06-25,ltd,active,FALSE,FALSE,c7ee2ca25e5f07bbede8a762eee9db3ff6dbcba3,FALSE,active,TRUE,FALSE,FALSE,TRUE,Merseyside,PR9 9YF,Southport,Chancery House,2023-06-30,2024-03-31,FALSE,2022-07-01,2022-06-30,unaudited-abridged,2021-07-01,2022-06-30,2024-03-31,2023-06-30,30,6,FALSE,2023-09-20,FALSE,2022-09-20,2023-10-04,/company/03391748,/company/03391748/filing-history,/company/03391748/officers,/company/03391748/persons-with-significant-control,United Kingdom,"[{'ceased_on': '1998-01-27', 'effective_from': '1997-07-08', 'name': 'JON LLOYD INSURANCE SERVICES LIMITED'}, {'ceased_on': '1997-07-08', 'name': 'ASHSTOCK 1539 LIMITED', 'effective_from': '1997-06-25'}]",Slaidburn Crescent,/company/03391748/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smith England (Willis Network),"['65120', '65202', '66220']",JAPAN ENGLAND INSURANCE BROKERS LIMITED,2341379,england-wales,2016-01-31,1989-01-31,ltd,active,FALSE,FALSE,8fcc8bdbb4f773c5eabb843b4f07181f44fec9bb,FALSE,active,FALSE,FALSE,FALSE,TRUE,,EC2N 2HE,London,3rd Floor 14 Austin Friars,2022-12-31,2023-09-30,FALSE,2022-01-01,2021-12-31,small,2021-01-01,2021-12-31,2023-09-30,2022-12-31,31,12,FALSE,2024-04-09,FALSE,2023-04-09,2024-04-23,/company/02341379,/company/02341379/filing-history,/company/02341379/officers,/company/02341379/persons-with-significant-control,England,"[{'effective_from': '1989-01-31', 'ceased_on': '1989-06-06', 'name': 'EMCO TRADING LIMITED'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
